src,dst,sport,dport,proto,duration,pkt_count,total_bytes,throughput_bps,avg_pkt,min_pkt,max_pkt,median_pkt,mean_iat,std_iat,up_down_ratio,app_proto
192.168.29.189,23.33.244.239,51472,443,IP,0.10037994384765625,8,6108,486790.4695599301,763.5,0,1494,0.0,0.014339991978236608,0.03048194605174008,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.0023610591888427734,8,8086,27397873.084115926,1010.75,0,1494,0.0,0.00033729416983468194,0.0006260836960160761,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.0,8,11877,0.0,1484.625,0,1494,0.0,0.0,0.0,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.08344793319702148,8,3678,352603.1007925578,459.75,0,1494,0.0,0.011921133313860213,0.024709609198999963,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.033966064453125,8,4176,983569.9407008087,522.0,0,1494,0.0,0.004852294921875,0.005353028100861984,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.26601314544677734,8,778,23397.339968092925,97.25,0,273,0.0,0.038001877920968194,0.06191770518886378,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.01633000373840332,8,4817,2359827.9962039916,602.125,0,1494,0.0,0.00233285767691476,0.003572067144018386,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.22568893432617188,8,4882,173052.34798776262,610.25,0,1494,0.0,0.03224127633231027,0.07135043597453036,1.0,HTTPS
192.168.29.189,23.33.244.239,49187,443,IP,0.0343480110168457,6,1856,432281.21688670473,309.3333333333333,0,1494,0.0,0.006869602203369141,0.01343493406123346,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.5024020671844482,8,3362,53534.81157179554,420.25,0,1494,0.0,0.07177172388349261,0.16289855274291395,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.11782503128051758,8,1472,99944.80690579003,184.0,0,402,0.0,0.016832147325788225,0.029984891766628885,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.031883955001831055,8,1430,358801.1587440459,178.75,0,446,0.0,0.004554850714547294,0.006677257240299063,1.0,HTTPS
